ID,Genotype,correct,incorrrect,rewards,grooming time,mOFC,lOFC ,M1,M2,PrL,IL,DLS,DMS,CMS,VMS,NAc C,NAc S
379,1,47,196,24,53.9,296.3,268.5,1.9,63,188.9,133.3,0,50,3.7,8.3,55.6,92.6
390,1,23,260,12,929.74,809.3,1240.7,92.6,585.2,625.9,435.2,59.3,150,61.1,61.1,166.7,242.2
402,1,37,304,19,185.77,652.8,736.1,94.4,318.5,311.1,259.3,113,288.9,70.4,47.2,100,174.1
403,1,50,228,25,163.01,622.2,698.1,1.9,75.9,279.6,229.6,0,33.3,0,19.4,77.8,131.5
1844,1,34,287,17,81.67,979.6,1077.8,1.9,253.7,422.2,438.9,16.7,83.3,0,30.6,144.4,235.2
1853,1,3,135,1,733.65,911.1,1072.2,238.9,485.2,383.3,453.7,129.6,205.6,138.9,161.1,285.2,327.8
1854,1,17,217,8,55.44,596.3,905.6,18.5,157.4,477.8,431.5,88.9,124.1,44.4,77.8,201.9,235.2
1860,1,42,122,21,49.49,798.1,1164.8,90.7,213,609.3,266.7,470.4,575.9,377.8,141.7,225.9,270.4
1870,1,20,218,10,702.6,374.1,359.3,13,188.9,237,253.7,0,7.4,1.9,33.3,101.9,88.9
1878,1,52,71,26,495.2,364.8,322.2,0,179.6,175.9,198.1,11.1,94.4,1.9,2.8,53.7,48.1
1896,1,0,87,1,5.25,661.1,894.4,9.3,229.6,218.5,263,37,142.6,24.1,22.2,81.5,88.9
1901,1,40,73,17,61.49,653.7037037,414.8148148,0,159.2592593,144.4444444,122.2222222,0,0,0,0,7.407407407,53.7037037
1906,0,52,149,25,26.85,281.5,707.4,25.9,124.1,151.9,179.6,20.4,137,13,19.4,125.9,164.8
1909,0,35,190,18,60.24,590.7,1340.7,7.4,146.3,318.5,303.7,137,209.3,137,41.7,133.3,116.7
1917,0,0,132,0,44.63,1011.1,1231.5,46.3,559.3,716.7,324.1,196.3,113,77.8,108.3,313,305.6
1927,0,49,137,25,24.76,825.9,1237,27.8,264.8,468.5,400,46.3,57.4,40.7,55.6,114.8,148.1
1932,0,3,133,2,37.45,1044.4,977.8,14.8,350,294.4,255.6,16.7,42.6,9.3,27.8,163,157.4
2001,0,50,154,25,88.08,713,1133.3,50,537,392.6,335.2,264.8,142.6,131.5,91.7,164.8,138.9
2015,0,49,172,25,20.57,672.2,653.7,1.9,259.3,411.1,244.4,13,25.9,3.7,30.6,153.7,194.4
2019,0,6,219,4,42.38,361.1,522.2,18.5,175.9,168.5,185.2,9.3,61.1,9.3,5.6,59.3,70.4
2021,0,55,166,28,13.97,831.5,783.3,1.9,372.2,522.2,453.7,25.9,35.2,13,19.4,140.7,148.1
2022,0,55,138,25,60.51,877.8,679.6,3.7,301.9,359.3,200,0,0,0,0,35.2,63
2023,0,62,228,31,60.9,522.2,529.6,11.1,264.8,213,148.1,20.4,3.7,5.6,5.6,57.4,77.8